rpm,sc,stock,ve,slope,cyc
4600,1.0,111.3,139.0,+0.04,54
5300,1.0,110.1,135.1,+0.09,54
6300,1.0,108.7,133.3,+0.02,54
6900,1.0,106.0,129.5,+0.05,54
3900,1.0,115.7,79.3,+0.63,54
2700,1.0,103.7,94.7,-0.02,54
4600,1.2,111.3,131.4,+0.11,54
5300,1.2,110.1,137.1,+0.05,54
3900,1.2,115.7,134.4,+0.07,54
6300,1.2,108.7,137.7,+0.01,54
2700,1.2,103.7,92.2,+0.42,54
6900,1.2,106.0,135.7,+0.02,54
3900,1.4,115.7,126.8,+0.09,54
5300,1.4,110.1,140.4,+0.02,54
4600,1.4,111.3,136.0,+0.15,54
6300,1.4,108.7,142.6,-0.05,54
2700,1.4,103.7,84.8,+0.28,40
6900,1.4,106.0,97.6,+0.46,54
3900,1.7,115.7,102.3,-0.10,54
4600,1.7,111.3,137.9,+0.01,54
5300,1.7,110.1,145.0,+0.15,54
6300,1.7,108.7,145.3,-0.05,54
6900,1.7,106.0,139.8,-0.00,54
2700,1.7,103.7,101.9,+0.56,54
4600,2.0,111.3,143.8,+0.06,54
5300,2.0,110.1,148.1,-0.02,54
2700,2.0,103.7,97.2,-0.04,54
3900,2.0,115.7,94.2,+0.07,54
6300,2.0,108.7,141.9,-0.02,54
6900,2.0,106.0,140.5,+0.04,54
