label,rpm,stock,ve,slope,cyc
noeq_cd0.7,5300,110.1,137.1,+0.08,57
noeq_cd0.7,4600,111.3,139.1,+0.01,57
noeq_cd0.7,6900,106.0,123.5,+0.06,57
noeq_cd0.7,2700,103.7,104.0,+1.25,57
noeq_cd0.7,3900,115.7,85.1,+0.10,55
noeq_cd0.7,6300,108.7,92.4,-0.07,57
eqvol050,3900,115.7,96.7,-0.49,57
eqvol050,4600,111.3,139.6,+0.05,57
eqvol050,5300,110.1,134.0,+0.26,57
eqvol050,2700,103.7,99.5,-0.44,57
eqvol050,6300,108.7,134.2,+0.02,57
eqvol050,6900,106.0,126.2,+0.03,57
eqvol065,5300,110.1,134.7,+0.31,57
eqvol065,4600,111.3,139.4,+0.05,57
eqvol065,3900,115.7,93.0,+0.10,57
eqvol065,2700,103.7,91.6,+0.49,44
eqvol065,6300,108.7,134.2,+0.02,57
eqvol065,6900,106.0,126.2,+0.07,57
eqvol050_cd07,5300,110.1,136.1,+0.08,57
eqvol050_cd07,4600,111.3,139.9,+0.04,57
eqvol050_cd07,3900,115.7,89.8,+0.08,57
eqvol050_cd07,6900,106.0,130.2,+0.01,57
eqvol050_cd07,2700,103.7,85.9,+0.32,46
eqvol050_cd07,6300,108.7,99.5,+0.05,57
