rpm,cd,sc,stock,ve,slope,cyc
5300,1.0,1.0,110.1,135.0,+0.18,54
4600,1.0,1.0,111.3,139.0,+0.04,54
3900,1.0,1.0,115.7,129.4,+0.06,54
6300,1.0,1.0,108.7,133.3,+0.02,54
6900,1.0,1.0,106.0,129.5,+0.01,54
2700,1.0,1.0,103.7,84.9,+0.48,42
4600,0.75,1.0,111.3,139.9,+0.04,54
3900,0.75,1.0,115.7,129.3,+0.08,54
2700,0.75,1.0,103.7,97.0,-0.58,54
5300,0.75,1.0,110.1,135.5,+0.00,54
6900,0.75,1.0,106.0,129.5,-0.02,54
6300,0.75,1.0,108.7,116.2,+0.52,54
3900,0.55,1.0,115.7,94.2,+0.14,54
4600,0.55,1.0,111.3,139.3,+0.04,54
2700,0.55,1.0,103.7,98.6,-0.17,54
5300,0.55,1.0,110.1,135.9,-0.09,54
6900,0.55,1.0,106.0,129.2,+0.00,54
6300,0.55,1.0,108.7,135.0,+0.03,54
